"Tamaño","Asignaciones","Comparaciones","Cantidad de líneas ejecutadas (Suma asig + comp)","Tiempo de ejecución (ms)","Cantidad de líneas del código"
10,16,53,69,0,15
100,173,689,862,0,15
1000,2097,8446,10543,0,15
10000,30964,116742,147706,1,15
100000,566776,1952363,2519139,7,15
1000000,12351508,39662029,52013537,64,15
10000000,301439428,930995384,1232434812,1578,15
100000000,7856519406,23840750938,31697270344,38306,15
