"Tamaño","Asignaciones","Comparaciones","Cantidad de líneas ejecutadas (Suma asig + comp)","Tiempo de ejecución (ms)","Cantidad de líneas del código"
10,71,101,172,0.036700,30
100,569,915,1484,0.026700,30
1000,6090,10332,16422,0.349400,30
10000,60607,104456,165063,1.196500,30
100000,609556,1058666,1668222,6.154100,30
1000000,6068489,10576605,16645094,16.614000,30
10000000,60624422,105904222,166528644,109.192200,30
100000000,605278378,1058968310,1664246688,1390.081800,30
