"Tamaño","Asignaciones","Comparaciones","Cantidad de líneas ejecutadas (Suma asig + comp)","Tiempo de ejecución (ms)","Cantidad de líneas del código"
10,588,616,1204,2.566600,42
100,5241,5679,10920,9.758900,42
1000,38869,43282,82151,18.399700,42
10000,306567,353195,659762,64.961800,42
100000,2565084,3038890,5603974,234.195600,42
1000000,22194581,26820626,49015207,1527.118100,42
10000000,199876221,247162064,447038285,11734.215700,42
100000000,1830393057,2304579946,4134973003,120743.901600,42
